2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
P. Goldstein,D. Sanchez,K. Pless,D. Ferrer,P. Starace,I. Karlovic,A. Montañes,X. Malisse,O. Rochus,B. Phau
B. Ulihrach,J. Balcells,A. Popp,L. Burgsmuller,D. Van Scheppingen,F. Santoro,G. Coria,M. Zabaleta,S. Stakhovsky,O. Rochus
J. Vanek,J. Acasuso,L. Horna,I. Labadze,P. Kohlschreiber,T. Behrend,N. Lapentti,A. Delic,B. Reynolds,P. Capdeville
J. Gimelstob,A. Calatrava,A. Portas,G. Carraz,D. Sanchez,P. Goldstein,R. Schuettler,L. Horna,K. Nishikori,R. Kendrick
D. Sanguinetti,K. Pless,S. Sargsian,A. Vinciguerra,A. Popp,G. García-López,R. Vik,E. Korolev,D. Gremelmayr,F. Serra
W. Arthurs,W. Arthurs,F. Squillari,V. Voltchkov,J. Hernych,L. Dlouhy,K. Kim,A. Pavel,A. Clement,F. Fognini
G. Ivanisevic,M. Gustafsson,M. Fish,I. Karlovic,A. Montañes,R. Mello,R. Sluiter,S. Bolelli,V. Spadea,C. Rochus
J. Balcells,S. Bruguera,A. Savolt,O. Hernandez,W. Arthurs,L. Burgsmuller,J. Hernych,B. Pashanski,T. Gabashvili,A. Mannarino
J. Boutter,M. Russell,M. Llodra,C. Rochus,V. Hanescu,P. Kohlschreiber,A. Pavel,P. Luczak,S. Grosjean,K. Beck
I. Ljubicic,S. Koubek,J. Vacek,O. Mutis,G. Muller,R. Schuettler,J. Vanek,T. Henman,E. Korolev,P. Starace
G. Bastl,A. Di Pasquale,M. Verkerk,J. Gimelstob,A. Corretja,D. Bracciali,F. Dancevic,G. García-López,D. Sela,J. Ouanna
P. Srichaphan,R. Delgado,A. Dupuis,A. Montañes,J. Mónaco,J. Bjorkman,J. Tipsarevic,C. Guccione,C. Rochus,R. Schuettler
G. Puentes,S. Sargsian,J. Melzer,R. Soderling,J. Blake,B. Phau,A. Di Mauro,T. Gabashvili,K. Vliegen,W. Odesnik
D. Elsner,C. Woodruff,C. Mamiit,J. Boutter,Y. Lu,T. Ascione,D. Norman,M. Mirnyi,J. Levine,S. Darcis
D. Sanchez,H. Lee,M. Rosset,J. Lisnard,R. Sluiter,J. Haehnel,F. Vicente,F. Serra,R. Haase,N. Massú
F. Mantilla,A. Simoni,J. Knowle,D. Sanguinetti,J. Morrison,W. Arthurs,T. Alves,N. Lapentti,M. Zverev,F. Mayer
H. Gumy,A. Savolt,V. Voltchkov,T. Behrend,A. Dupuis,N. Almagro,O. Marach,Y. Lu,F. Volandri,V. Crivoi
M. Tabara,R. Sluiter,A. Vinciguerra,C. Saulnier,N. Almagro,W. Moodie,G. Muller,E. Roger-Vasselin,P. Andújar,M. Russell
A. Gaudenzi,J. Blake,Z. Krajan,F. Verdasco,A. Calatrava,A. Costa,B. Pashanski,M. Zverev,M. Berrer,D. Istomin
G. Blanco,N. Davydenko,F. Clavet,M. Vassallo Arguello,K. Vliegen,P. Wessels,O. Patience,P. Capdeville,D. Junqueira,E. Gulbis
J. Marin,J. Vanek,N. Okun,N. Mahut,K. Carlsen,J. Wang,M. Vassallo Arguello,O. Patience,R. Kendrick,F. Gil
A. Berasategui,J. Chela,J. Morrison,F. Squillari,G. Elseneer,J. Vanek,P. Starace,R. Haase,R. Karanusic,M. Baghdatis
O. Rochus,J. Siemerink,B. Vahaly,T. Berdych,D. Sanguinetti,H. Lee,D. Gremelmayr,I. Navarro,B. Becker,F. Dancevic
D. Vacek,M. Rosset,I. Labadze,M. Puerta,T. Reid,S. Koubek,S. Roitman,V. Hanescu,I. Minar,R. Ram
R. Sluiter,I. Labadze,A. Di Pasquale,G. Rusedski,A. Bogomolov Jr.,P. Starace,J. del Potro,J. Brzezicki,L. Horna,K. Kim
S. Bruguera,A. Voinea,J. Lisnard,G. Blanco,O. Mutis,F. Saretta,L. Dlouhy,M. Cilic,N. Massú,C. Guccione
S. Huet,F. Luzzi,A. Kim,D. Tursunov,M. Rosset,J. Gimelstob,S. Galvani,K. Pless,F. Gil,D. Gimeno-Traver
H. Lee,A. Sa,O. Mutis,I. Miranda,W. Ferreira,A. Murray,K. Pless,D. Sela,W. Odesnik,N. Kiefer
J. Diaz,A. Calleri,M. Ancic,W. Eschauer,M. Tabara,G. Simon,M. Daniel,B. Reynolds,A. Beck,J. Levine
M. Hipfl,J. Marin,K. Carlsen,I. Andreev,O. Patience,A. Waske,R. De Voest,J. Vanek,B. Dabul,J. Chela
F. González,F. Saretta,R. Krajicek,S. Draper,J. Tipsarevic,F. Vicente,E. Korolev,P. Goldstein,A. Martin,S. Ventura
W. Black,C. Mamiit,G. Ivanisevic,R. Gasquet,T. Ascione,D. Norman,D. Udomchoke,F. Fognini,M. Vassallo Arguello,A. Falla
A. Voinea,N. Godwin,D. Norman,T. Ascione,S. Ventura,C. Berlocq,A. Waske,R. Kendrick,J. Hernych,L. Ouahab
J. Knippschild,M. Llodra,A. Gaudenzi,A. Popp,O. Hernandez,F. Mantilla,A. Falla,S. Ventura,S. Ventura,R. Machado
E. Benfele Alvarez,M. Lee,R. Ginepri,A. Bogomolov Jr.,A. Peya,M. Llodra,M. Philippoussis,R. Ramirez Hidalgo,A. Falla,T. Alves
F. Meligeni,P. Srichaphan,T. Suzuki,A. Waske,P. Wessels,B. Pashanski,N. Devilder,A. Di Mauro,J. Vanek,M. Chiudinelli
E. Kempes,H. Armando,M. Chang,W. Arthurs,A. Falla,A. Di Mauro,S. Koubek,M. Montcourt,K. Anderson,B. Evans
P. Wessels,T. Dent,C. Rochus,F. Browne,A. Garcia,A. Dupuis,C. Berlocq,T. Ascione,D. Young,T. de Bakker
C. Vinck,G. Pozzi,C. Pioline,R. Kendrick,G. García-López,B. Reynolds,A. Portas,R. Sluiter,I. Bozoljac,J. Hajek
A. Stoliarov,O. Fukarek,I. Heuberger,A. Corretja,C. Rochus,V. Mazarakis,T. Gabashvili,R. De Voest,D. Istomin,D. Brands
C. Saulnier,I. Heuberger,J. Balcells,J. Salzenstein,N. Mahut,R. Ramirez Hidalgo,I. Kunitsyn,D. Udomchoke,J. Chela,T. Dent
F. Browne,J. Nieminen,N. Coutelot,N. Thomann,J. Lisnard,A. Portas,K. Economidis,S. Darcis,F. Cipolla,S. Giraldo
J. Siemerink,G. Bastl,R. Delgado,K. Vliegen,R. Gasquet,G. Bastl,K. Carlsen,N. Devilder,L. Mayer,S. Roitman
T. Zib,L. Horna,M. Puerta,D. Norman,F. Saretta,B. Ulihrach,F. Saretta,M. González,S. Roitman,R. Ramirez Hidalgo
C. Mamiit,D. Van Scheppingen,G. Bastl,S. Pescosolido,K. Kucera,J. Tipsarevic,R. Delgado,P. Cuevas,K. Kim,P. Lorenzi
S. Lareau,P. Wessels,M. Hipfl,G. Galimberti,G. Weiner,O. Marach,S. Bolelli,F. Luzzi,S. Koubek,M. Berrer
B. Bryan,D. Norman,J. van Lottum,A. Pavel,I. Heuberger,S. Greul,L. Kubot,D. Norman,S. Bohli,S. Koubek
M. Rodriguez,N. Behr,T. Behrend,M. Rosset,K. Kim,K. Vliegen,G. Fraile,A. Bogdanovic,T. Alves,C. Ball
G. Etlis,M. López,J. Gimelstob,M. Kratochvil,T. Zib,R. Delgado,J. Novak,N. Kiefer,G. Soeda,R. Karanusic
J. Courier,T. Behrend,M. Kohlmann,G. Lapentti,J. Vanek,D. Tursunov,J. Wang,D. Koellerer,P. Petzschner,S. Devvarman
M. Youzhny,J. Knippschild,G. Blanco,A. Voinea,R. Ramirez Hidalgo,P. Capdeville,A. Delic,A. Jones,R. Ramirez Hidalgo,L. Recouderc
T. Suzuki,W. Black,A. Stoliarov,P. Goldstein,F. Squillari,M. Daniel,I. Bozoljac,F. Saretta,P. Cuevas,S. Robert
J. van Lottum,A. Pretzsch,O. Ogorodov,P. Baccanello,B. Ulihrach,Y. Lu,S. Querrey,V. Troicki,A. Delic,M. Llodra
O. Stanoytchev,C. Saulnier,A. Calatrava,M. López,P. Goldstein,S. Ventura,I. Minar,F. Gil,P. Capdeville,K. Anderson
N. Davydenko,S. Dosedel,O. Fukarek,E. Taino,P. Luczak,R. Sluiter,R. Kendrick,L. Dlouhy,K. Pless,B. Dabul
M. Llodra,E. Kempes,J. Golmard,S. Galvani,L. Burgsmuller,J. Benneteau,Y. Lu,A. Waske,B. Phau,H. Lee
A. Parmar,S. Galvani,A. Waske,J. Vanek,J. Salzenstein,D. Sanchez,G. Rusedski,G. Muller,A. Golubev,A. Clement
L. Tieleman,K. Alami,D. Van Scheppingen,J. Varlet,T. Martin,J. Lisnard,A. Peya,T. Zib,S. Giraldo,L. Kubot
M. Kratochvil,G. Puentes,E. Massa,J. Tipsarevic,J. Vacek,N. Mahut,R. Mello,A. Falla,T. Ascione,N. Lapentti
R. Agenor,J. Knowle,G. Carraz,J. Benneteau,A. Di Mauro,J. Marin,P. Capdeville,Z. Fleishman,S. Stadler,I. Navarro
F. Dewulf,O. Gross,R. Mello,V. Santopadre,N. Okun,O. Patience,W. Eschauer,J. Guzman,J. Isner,D. Udomchoke
T. Woodbridge,N. Okun,G. Galimberti,D. Van Scheppingen,M. Chiudinelli,M. Tabara,T. Zib,R. Schuettler,F. Ferreiro,H. Levy
T. Ketola,K. Kucera,N. Thomann,J. Vacek,R. Karanusic,D. Udomchoke,A. Agassi,J. Isner,J. Sirianni,S. De Chaunac
T. Behrend,F. Volandri,K. Beck,A. Calatrava,J. Jeanpierre,G. Lapentti,M. Berrer,F. Cipolla,F. Dancevic,L. Lacko
N. Coutelot,J. Viloca-Puig,A. Simoni,G. Elseneer,T. Behrend,K. Kucera,D. Hartfield,J. Hernych,M. González,S. Stakhovsky
T. Guardiola,B. Black,S. Draper,T. Larkham,H. Levy,I. Labadze,A. Vinciguerra,O. Marach,M. Elgin,R. Sweeting
R. Willems,J. Delgado,S. Galvani,R. Krajicek,M. López,J. Brzezicki,A. Bogdanovic,W. Odesnik,C. Berlocq,S. Bohli
L. Paes,M. Kohlmann,O. Gross,R. Mello,D. Elsner,I. Navarro,I. Navarro,D. Gremelmayr,S. Greul,J. Reister
P. Luxa,P. Mathieu,J. Bachelot,B. Phau,G. Lapentti,L. Kubot,F. Luzzi,W. Moodie,J. Brzezicki,B. Kavcic
